# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_conformal_data.py.
n_value,g,Delta
7,2.15,5.953747531952893
7,2.2,5.97295651699369
7,2.25,5.991473716097095
7,2.3,6.009335909689336
7,2.35,6.026577302933506
7,2.4,6.043229749099574
7,2.45,6.059322949825268
7,2.5,6.074884635046538
7,2.55,6.0899407249954
7,2.6,6.104515476340682
7,2.65,6.118631614273491
7,2.7,6.132310452106062
7,2.75,6.145571999753295
7,2.8,6.1584350622954
7,2.85,6.170917329673076
7,2.9,6.183035458439838
7,2.95,6.194805146386523
7,3.0,6.206241200757865
7,3.05,6.21735760069846
7,3.1,6.228167554493336
7,3.15,6.23868355210553
7,3.2,6.24891741345793
7,3.25,6.258880332858383
7,3.3,6.268582919924584
7,3.35,6.278035237327776
7,3.4,6.287246835641372
7,3.45,6.296226785551231
7,3.5,6.304983707660116
7,3.55,6.313525800090514
7,3.6,6.321860864078444
7,3.65,6.329996327724131
7,3.7,6.337939268054376
7,3.75,6.345696431535116
7,3.8,6.353274253160079
7,3.85,6.360678874229826
7,3.9,6.3679161589247935
7,3.95,6.3749917097682545
7,4.0,6.381910882062397
8,0.0,3.0
8,0.01,3.0009689301420615
8,0.02,3.0038697919656485
8,0.03,3.008684909146072
8,0.04,3.0153851811697256
8,0.05,3.0239306065532467
8,0.06,3.0342709830784904
8,0.07,3.0463467558031563
8,0.08,3.0600899792068215
8,0.09,3.0754253577837014
8,0.1,3.092271329654873
8,0.11,3.110541160089643
8,0.12,3.1301440157856972
8,0.13,3.150985995853692
8,0.14,3.1729711011496846
8,0.15,3.1960021293960685
8,0.16,3.2199814890028304
8,0.17,3.244811929323156
8,0.18,3.2703971890390098
8,0.19,3.296642567366967
8,0.2,3.3234554247857853
8,0.21,3.350745621068549
8,0.22,3.378425898656853
8,0.23,3.4064122189775072
8,0.24,3.434624058326261
8,0.25,3.4629846685881045
8,0.3,3.604623812276456
8,0.35,3.740957133389561
8,0.4,3.8674356186584316
8,0.45,3.982125395308847
8,0.5,4.0849807592525496
8,0.55,4.176988043041471
8,0.6,4.259504217190701
8,0.65,4.333884055964102
8,0.7,4.401325819648174
8,0.75,4.462835489185391
8,0.8,4.519240721009129
8,0.85,4.571219541437951
8,0.9,4.6193293856749875
8,0.95,4.664031860483014
8,1.0,4.705712530957138
8,1.05,4.744696333653931
8,1.1,4.781259493337873
8,1.15,4.8156387488743935
8,1.2,4.84803853700039
8,1.25,4.8786366301141
8,1.3,4.907588599719022
8,1.35,4.93503138211559
8,1.4,4.961086152379155
8,1.45,4.985860660828341
8,1.5,5.009451148170835
8,1.55,5.03194392754797
8,1.6,5.053416701014645
8,1.65,5.073939662586637
8,1.7,5.093576428428522
8,1.75,5.112384826013995
8,1.8,5.130417567427195
8,1.85,5.147722826854605
8,1.9,5.164344738354212
8,1.95,5.180323826897646
8,2.0,5.195697383252844
8,2.05,5.210499791353859
8,2.1,5.224762815274708
8,2.15,5.238515851698043
8,2.2,5.251786152780771
8,2.25,5.264599023516659
8,2.3,5.276977997041811
8,2.35,5.288944990792322
8,2.4,5.300520445981154
8,2.45,5.311723452494943
8,2.5,5.322571861006491
8,2.55,5.3330823838438715
8,2.6,5.343270685943029
8,2.65,5.353151467030417
8,2.7,5.362738536029559
8,2.75,5.372044878555723
8,2.8,5.381082718252436
8,2.85,5.389863572628956
8,2.9,5.3983983039767525
8,2.95,5.406697165873177
8,3.0,5.414769845720209
8,3.05,5.422625503713981
8,3.1,5.430272808595431
8,3.15,5.437719970492978
8,3.2,5.444974771133674
8,3.25,5.452044591669158
8,3.3,5.458936438336309
8,3.35,5.465656966149268
8,3.4,5.472212500799053
8,3.45,5.47860905891892
8,3.5,5.484852366857671
8,3.55,5.490947878088935
8,3.6,5.496900789371906
8,3.65,5.50271605576784
8,3.7,5.5083984046121675
8,3.75,5.513952348487295
8,3.8,5.519382197386562
8,3.85,5.524692069980371
8,3.9,5.529885904231457
8,3.95,5.5349674670418185
8,4.0,5.539940361414462
9,0.0,3.0
9,0.01,3.0011759933255453
9,0.02,3.004698018078419
9,0.03,3.010548324114419
9,0.04,3.0186977069867718
9,0.05,3.0291060563461394
9,0.05,3.0291060563461394
9,0.06,3.041723085123068
9,0.07,3.056489205278063
9,0.08,3.0733365116303073
9,0.09,3.0921898340181606
9,0.1,3.112967819528046
9,0.1,3.112967819528046
9,0.11,3.1355840102199166
9,0.12,3.159947887004401
9,0.13,3.185965856392135
9,0.14,3.213542163111833
9,0.15,3.242579717580365
9,0.15,3.242579717580365
9,0.16,3.2729808325572893
9,0.17,3.304647867827979
9,0.18,3.337483785358704
9,0.19,3.3713926200727826
9,0.2,3.406279873289175
9,0.2,3.406279873289175
9,0.21,3.4420528370563512
9,0.22,3.478620858228002
9,0.23,3.5158955512816417
9,0.24,3.5537909686812643
9,0.25,3.592223737118043
9,0.25,3.592223737118043
